Data,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2020-03-22,2,0,15,2,2,2,0,0,8,44,1,0,7,0,3,0,7,12,6,0,45,67,172,17,1,0,5
2020-03-23,0,0,6,1,0,0,3,0,14,51,0,1,5,2,4,0,6,14,11,3,45,47,114,16,2,0,0
2020-03-24,6,0,15,0,0,0,2,2,13,19,6,1,0,0,0,5,9,12,39,4,2,72,65,27,4,5,2
2020-03-25,6,0,7,2,2,6,0,2,8,18,0,0,4,2,1,1,16,25,2,6,3,65,52,0,2,1,1
2020-03-26,1,1,13,6,0,0,0,0,20,35,2,2,2,1,5,0,21,45,13,0,20,51,190,40,10,3,1
2020-03-27,1,0,14,0,1,2,1,0,11,47,3,4,8,0,9,0,17,27,27,8,36,72,171,30,10,0,3
2020-03-28,0,2,30,4,0,2,1,3,12,32,1,5,12,2,17,0,14,2,35,6,16,65,183,30,7,2,3
2020-03-29,9,0,29,1,0,4,0,3,27,34,2,0,5,3,23,0,15,29,10,7,26,42,45,29,2,3,5
2020-03-30,8,4,11,3,0,0,1,0,22,24,7,1,5,2,9,0,7,15,3,12,30,57,66,23,3,2,8
2020-03-31,0,2,24,11,2,0,1,1,37,18,8,2,9,2,5,3,24,33,22,12,14,51,822,20,4,7,4
2020-04-01,1,1,25,8,1,6,1,0,33,54,21,3,8,0,10,1,45,32,16,12,39,124,642,23,6,2,3
2020-04-02,0,0,29,6,1,4,0,0,21,106,19,1,11,1,13,3,28,28,12,24,56,160,525,15,2,9,2
2020-04-03,3,8,31,4,0,4,0,4,15,77,10,8,30,2,71,2,49,62,34,19,27,82,542,32,15,8,7
2020-04-04,0,9,51,30,1,7,2,1,50,103,7,3,40,1,36,2,94,14,53,14,33,172,418,52,15,12,2
2020-04-05,2,1,106,6,1,5,3,5,69,93,8,2,25,1,30,5,43,8,23,13,68,148,154,14,12,4,3
2020-04-06,2,5,115,16,2,0,0,3,30,190,37,1,22,0,4,0,20,63,22,28,27,67,246,5,4,16,1
2020-04-07,0,14,104,36,4,0,2,1,25,38,39,1,129,5,8,4,45,27,38,15,34,227,816,19,14,2,14
2020-04-08,4,59,168,29,0,7,4,5,41,240,58,5,49,3,7,0,36,47,40,18,55,250,1026,17,25,12,5
2020-04-09,8,21,95,1,10,3,0,0,62,134,43,14,154,7,0,3,70,63,44,46,41,278,772,18,21,18,4
2020-04-10,8,38,82,2,4,11,0,8,45,53,20,24,129,2,2,3,34,18,192,27,43,248,736,28,12,4,8
2020-04-11,2,27,69,47,1,12,0,3,31,104,51,6,132,1,26,0,33,4,39,49,52,143,203,24,18,9,3
2020-04-12,5,37,156,29,2,4,2,0,38,94,54,16,144,3,13,2,62,13,36,34,56,248,336,35,20,2,1
2020-04-13,13,12,69,24,7,4,1,2,50,124,47,10,194,6,37,0,18,11,9,47,9,376,140,24,4,11,12
2020-04-14,9,65,209,53,22,30,0,22,36,205,33,25,130,8,37,1,35,36,49,33,69,179,476,13,51,4,2
2020-04-15,2,27,70,61,5,1,0,10,48,152,152,15,200,17,23,1,12,47,27,94,19,333,1672,31,20,13,6
2020-04-16,9,28,165,54,7,28,3,7,144,229,65,14,199,16,1,2,29,33,31,197,55,201,525,34,14,5,10
2020-04-17,25,8,90,119,16,22,2,21,108,298,102,30,323,11,63,5,42,22,42,102,63,405,1273,30,17,6,12
